t,vout,dctrl
0.000632,8.090668,5.939997
0.000634,8.076788,5.939997
0.000636,8.060686,5.939997
0.000638,8.044580,5.939997
0.000640,8.028506,5.935997
0.000642,8.013338,5.935997
0.000644,7.999792,5.935997
0.000646,7.987873,5.935997
0.000648,7.977581,5.935997
0.000650,7.968917,5.935997
0.000652,7.959089,5.935997
0.000654,7.945819,5.935997
0.000656,7.930059,5.935997
0.000658,7.914214,5.935997
0.000660,7.898400,5.931997
0.000662,7.883521,5.931997
0.000664,7.870316,5.931997
0.000666,7.858788,5.931997
0.000668,7.848937,5.931997
0.000670,7.840765,5.931997
0.000672,7.831479,5.931997
0.000674,7.818802,5.931997
0.000676,7.803414,5.931997
0.000678,7.787822,5.931997
0.000680,7.772260,5.927997
0.000682,7.757661,5.927997
0.000684,7.744785,5.927997
0.000686,7.733636,5.927997
0.000688,7.724214,5.927997
0.000690,7.716519,5.927997
0.000692,7.707759,5.927997
0.000694,7.695657,5.927997
0.000696,7.680671,5.927997
0.000698,7.665323,5.927997
0.000700,7.650007,5.923996
0.000702,7.635678,5.923996
0.000704,7.623122,5.923996
0.000706,7.612339,5.923996
0.000708,7.603333,5.923996
0.000710,7.596101,5.923996
0.000712,7.587852,5.923996
0.000714,7.576305,5.923996
0.000716,7.561749,5.923996
0.000718,7.546638,5.923996
0.000720,7.531559,5.919996
0.000722,7.517493,5.919996
0.000724,7.505246,5.919996
0.000726,7.494820,5.919996
0.000728,7.486216,5.919996
0.000730,7.479432,5.919996
0.000732,7.471676,5.919996
0.000734,7.460671,5.919996
0.000736,7.446569,5.919996
0.000738,7.431689,5.919996
0.000740,7.416840,5.915996
0.000742,7.403028,5.915996
0.000744,7.391081,5.915996
0.000746,7.381000,5.915996
0.000748,7.372785,5.915996
0.000750,7.366435,5.915996
0.000752,7.359157,5.915996
0.000754,7.348674,5.915996
0.000756,7.335051,5.915996
0.000758,7.320394,5.915996
0.000760,7.305766,5.911996
0.000762,7.292200,5.911996
0.000764,7.280542,5.911996
0.000766,7.270796,5.911996
0.000768,7.262957,5.911996
0.000770,7.257028,5.911996
0.000772,7.250214,5.911996
0.000774,7.240236,5.911996
0.000776,7.227113,5.911996
0.000778,7.212672,5.911996
0.000780,7.198260,5.907996
0.000782,7.184933,5.907996
0.000784,7.173557,5.907996
